City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
361,Sakakah,SA,29.9697,40.2064,92.77,18,1,8.43,clear sky
362,Daru,PG,-9.0763,143.2092,78.04,90,92,16.31,overcast clouds
363,Saint-Joseph,RE,-21.3667,55.6167,66.58,77,32,17.58,scattered clouds
364,Esperantina,BR,-3.9017,-42.2336,79.25,71,77,6.15,broken clouds
365,Muyezerskiy,RU,63.9333,31.65,49.57,95,62,2.75,broken clouds
366,Coihaique,CL,-45.5752,-72.0662,39.15,75,75,3.44,broken clouds
367,Almaya,MX,19.2333,-99.4167,64.45,79,97,3.13,overcast clouds
368,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,4.61,clear sky
369,Podgornoye,RU,51.735,39.1496,53.82,94,0,4.47,clear sky
370,Souillac,MU,-20.5167,57.5167,68.38,73,75,20.71,broken clouds
371,Xinmin,CN,41.9908,122.8253,74.68,78,15,6.55,few clouds
372,Itaperuna,BR,-21.205,-41.8878,65.43,93,2,5.14,clear sky
373,Tahe,CN,52.3333,124.7333,74.61,61,99,0.98,overcast clouds
374,Gauripur,IN,26.0835,89.9616,79.52,91,100,6.73,overcast clouds
375,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.54,97,73,0.69,broken clouds
376,Port Hardy,CA,50.6996,-127.4199,62.78,72,75,11.5,broken clouds
377,Kutum,SD,14.2,24.6667,72.7,68,72,17.09,broken clouds
378,Havoysund,NO,70.9963,24.6622,52.03,98,96,8.59,overcast clouds
379,Kamyaran,IR,34.7956,46.9355,75.38,18,0,4.41,clear sky
380,Kisanga,TZ,-7.4362,37.7034,66.31,95,70,0.81,broken clouds
381,El Alto,PE,-4.2714,-81.2147,64.06,88,92,18.81,overcast clouds
382,Alofi,NU,-19.0595,-169.9187,78.69,69,75,17.27,broken clouds
383,Tilichiki,RU,60.4667,166.1,61.25,59,100,6.49,overcast clouds
384,Itaituba,BR,-4.2761,-55.9836,80.85,52,78,1.05,broken clouds
385,Kandrian,PG,-6.2167,149.55,84.18,69,98,5.06,overcast clouds
386,Mnogovershinnyy,RU,53.9353,139.9242,51.67,99,100,7.09,light rain
387,Vao,NC,-22.6667,167.4833,74.39,81,99,11.21,overcast clouds
388,Paamiut,GL,61.994,-49.6678,44.85,82,100,1.48,overcast clouds
389,Aitape,PG,-3.1374,142.3475,80.71,81,94,2.1,moderate rain
390,Mana,GF,5.6592,-53.7767,78.53,87,44,8.63,scattered clouds
391,Kemijarvi,FI,66.7131,27.4306,49.77,90,100,2.62,overcast clouds
392,Turukhansk,RU,65.8167,87.9833,58.23,64,95,13.2,overcast clouds
393,Jiangkou,CN,25.4872,119.1986,82.8,85,100,11.12,overcast clouds
394,Namatanai,PG,-3.6667,152.4333,84.54,67,92,8.5,overcast clouds
