City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
201,Waddan,LY,77.52,clear sky,29.1614,16.139,محل الشريف محمد العايب
203,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
209,Sambava,MG,70.03,light rain,-14.2667,50.1667,Melrose
211,Bengkulu,ID,75.58,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
214,Shingu,JP,80.55,light rain,33.7333,135.9833,Shingu UI Hotel
219,Cairns,AU,75.11,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
221,Rockland,US,78.66,overcast clouds,41.1668,-74.0496,National Camp Association
227,Praia Da Vitoria,PT,72.75,broken clouds,38.7333,-27.0667,Hotel Branco I
228,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
230,Westport,US,78.62,broken clouds,41.1415,-73.3579,The Westport Inn
232,Katsuura,JP,80.62,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
235,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
236,Kalmunai,LK,78.35,overcast clouds,7.4167,81.8167,VS Villa
237,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
241,Broome,US,75.58,light rain,42.2506,-75.833,Chenango Valley State Park
246,Sint Anthonis,NL,71.87,clear sky,51.6267,5.8819,Hotel Restaurant de Baronie
249,Kapit,MY,77.52,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
252,Matay,EG,82.94,scattered clouds,28.419,30.7792,Nag Aespen
259,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
260,High Level,CA,78.91,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
261,Nang Rong,TH,79.2,broken clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
264,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
265,Diamantino,BR,74.48,scattered clouds,-14.4086,-56.4461,Hotel Delta
266,Kupang,ID,75.83,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
267,Xam Nua,LA,73.31,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
268,Gigmoto,PH,83.39,few clouds,13.7796,124.39,Cj's Travellers Inn
271,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
274,Liling,CN,76.57,overcast clouds,27.6667,113.5,Shangri-La Hotel
275,Bubaque,GW,79.56,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
283,Cockburn Town,TC,81.82,clear sky,21.4612,-71.1419,Osprey Beach Hotel
284,Amarante Do Maranhao,BR,76.96,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
287,Tura,IN,75.07,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
295,Athabasca,CA,81.01,clear sky,54.7169,-113.2854,Athabasca Lodge Motel
298,Harrisburg,US,82.33,broken clouds,40.2737,-76.8844,Hilton Harrisburg
299,Samarai,PG,80.35,few clouds,-10.6167,150.6667,Nuli Sapi
301,Dingle,PH,74.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
304,Pemba,MZ,72.3,few clouds,-12.974,40.5178,Guesthouse Samotina
305,Nicoya,CR,76.44,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
307,Akcaabat,TR,75.07,broken clouds,41.0212,39.5715,AKOF APART
316,Karwar,IN,77.41,overcast clouds,14.8,74.1333,Netalco Connects
318,Banjar,ID,77.9,overcast clouds,-8.19,114.9675,The Hamsa Resort
319,Zadar,HR,72.21,clear sky,44.1197,15.2422,Hotel Kolovare
320,Sterling,US,81.97,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
324,Ust-Nera,RU,78.87,overcast clouds,64.5667,143.2,Hotel Ust-Nera
326,Keti Bandar,PK,82.31,overcast clouds,24.1447,67.4497,Haji laloo memon house
327,Cam Ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
328,Margate,GB,75.69,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
329,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
331,Hobyo,SO,75.09,broken clouds,5.3505,48.5268,Iftin hotel hobyo
332,Orchard Homes,US,75.27,broken clouds,46.8633,-114.0484,Broadway Inn Missoula
333,Noshiro,JP,72.43,light rain,40.2039,140.0242,Suigetsu
335,Wanning,CN,84.36,overcast clouds,18.8003,110.3967,Paradise Hotel
336,Funadhoo,MV,82.18,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
343,Basqal,AZ,71.55,clear sky,40.7552,48.391,BASQAL QONAQ EVI. GUEST HOUSE
348,Hornepayne,CA,70.34,scattered clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
349,Diplo,PK,82.78,overcast clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
350,Salisbury,GB,77.45,clear sky,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
355,Manaure,CO,82.85,broken clouds,11.7751,-72.4445,Hotel Palaaima
357,Marshall,US,82.72,clear sky,34.3834,-86.3333,Riverview Campground
358,Bheramara,BD,80.38,overcast clouds,24.0232,88.9925,Govt Guest House (Dac Banglo)
362,Daru,PG,78.04,overcast clouds,-9.0763,143.2092,Daru Lodge
364,Esperantina,BR,79.25,broken clouds,-3.9017,-42.2336,Hotel Bela Vista
371,Xinmin,CN,74.68,few clouds,41.9908,122.8253,Agricultural Machinery Hotel
373,Tahe,CN,74.61,overcast clouds,52.3333,124.7333,塔河宾馆
374,Gauripur,IN,79.52,overcast clouds,26.0835,89.9616,Mithu lodge
375,Sao Gabriel Da Cachoeira,BR,73.54,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
377,Kutum,SD,72.7,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
379,Kamyaran,IR,75.38,clear sky,34.7956,46.9355,هتل آپارتمان وخانه معلم
382,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
384,Itaituba,BR,80.85,broken clouds,-4.2761,-55.9836,Hotel Campos
385,Kandrian,PG,84.18,overcast clouds,-6.2167,149.55,Kandrian Station
387,Vao,NC,74.39,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
390,Mana,GF,78.53,scattered clouds,5.6592,-53.7767,LE SAMANA
393,Jiangkou,CN,82.8,overcast clouds,25.4872,119.1986,DFM Hotel
394,Namatanai,PG,84.54,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
395,Aliaga,PH,81.9,overcast clouds,15.5167,120.8667,Jhenie rich ramos
396,Contamana,PE,73.08,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
