City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Xuddur,SO,2022-07-14 06:22:52,4.1213,43.8894,75.07,68,100,23.09
153,Touros,BR,2022-07-14 06:22:53,-5.1989,-35.4608,72.97,91,17,11.36
154,Saint George,US,2022-07-14 06:21:01,37.1041,-113.5841,91.99,25,0,6.91
155,Inyonga,TZ,2022-07-14 06:22:53,-6.7167,32.0667,65.03,50,2,7.38
156,Newport Beach,US,2022-07-14 06:22:12,33.6189,-117.9289,70.16,87,20,3.44
157,Kiruna,SE,2022-07-14 06:22:53,67.8557,20.2251,56.32,88,100,4.61
158,Areka,ET,2022-07-14 06:22:54,7.0667,37.7,61.14,85,98,1.25
159,Jinzhou,CN,2022-07-14 06:22:54,41.1078,121.1417,88.41,38,6,8.23
160,Vardo,NO,2022-07-14 06:22:54,70.3705,31.1107,51.78,100,100,6.91
161,Suntar,RU,2022-07-14 06:22:54,62.1444,117.6319,78.35,47,47,4.47
162,Caravelas,BR,2022-07-14 06:22:55,-17.7125,-39.2481,69.31,90,19,2.35
163,Qandala,SO,2022-07-14 06:22:55,11.472,49.8728,93.56,38,62,26.87
164,Codrington,AU,2022-07-14 06:22:55,-38.2667,141.9667,56.16,67,72,3.53
165,Kavieng,PG,2022-07-14 06:22:56,-2.5744,150.7967,80.82,81,100,12.3
166,Sonoita,MX,2022-07-14 06:22:56,31.85,-112.8333,91.8,36,71,6.6
167,Sterling,US,2022-07-14 06:22:56,39.0062,-77.4286,74.19,92,75,5.01
168,Kasongo-Lunda,CD,2022-07-14 06:22:56,-6.4667,16.8167,66.42,44,5,1.92
169,Svetlogorsk,BY,2022-07-14 06:22:57,52.6333,29.7333,60.73,84,90,9.37
170,Lingao,CN,2022-07-14 06:22:57,19.9103,109.6859,87.37,74,47,13.31
171,Mayo,US,2022-07-14 06:22:57,38.8876,-76.5119,78.01,85,0,3.44
172,Cherskiy,RU,2022-07-14 06:22:58,68.75,161.3,48.02,59,36,21.63
173,Kenai,US,2022-07-14 06:20:01,60.5544,-151.2583,59.02,83,100,13.8
174,Torbay,CA,2022-07-14 06:22:58,47.6666,-52.7314,65.57,91,100,17.27
175,Havoysund,NO,2022-07-14 06:22:58,70.9963,24.6622,55.63,95,100,6.31
176,Tasiilaq,GL,2022-07-14 06:22:59,65.6145,-37.6368,37.31,77,27,5.48
177,Hwange,ZW,2022-07-14 06:22:59,-18.3693,26.5019,59.07,49,17,2.1
178,Calvinia,ZA,2022-07-14 06:22:59,-31.4707,19.776,46.47,86,93,3.11
179,Faya,SA,2022-07-14 06:23:00,18.3851,42.4509,77.52,23,84,11.45
180,Ahipara,NZ,2022-07-14 06:23:00,-35.1667,173.1667,56.39,95,100,19.01
181,Honningsvag,NO,2022-07-14 06:23:00,70.9821,25.9704,55.15,94,75,0.0
182,Usogorsk,RU,2022-07-14 06:23:00,63.4106,48.6872,76.6,57,98,11.23
183,Los Llanos De Aridane,ES,2022-07-14 06:18:45,28.6585,-17.9182,64.15,75,20,4.61
184,Toamasina,MG,2022-07-14 06:23:01,-18.1667,49.3833,69.8,83,75,9.22
185,Gat,IL,2022-07-14 06:24:01,31.61,34.7642,81.28,100,8,6.11
186,Ust-Kuyga,RU,2022-07-14 06:24:01,70.0167,135.6,68.23,44,79,4.54
187,Tucumcari,US,2022-07-14 06:24:02,35.1717,-103.725,75.04,53,0,4.61
188,Yumen,CN,2022-07-14 06:24:02,40.2833,97.2,79.81,26,100,5.08
189,Mayumba,GA,2022-07-14 06:24:02,-3.432,10.6554,69.08,88,82,6.4
190,General Roca,AR,2022-07-14 06:21:51,-39.0333,-67.5833,39.61,87,100,16.75
191,Poum,NC,2022-07-14 06:24:03,-20.2333,164.0167,73.89,61,99,17.36
192,Asfi,MA,2022-07-14 06:24:03,32.2994,-9.2372,70.3,83,2,10.29
193,Paragould,US,2022-07-14 06:24:03,36.0584,-90.4973,75.85,73,1,6.04
194,Dvinskoy,RU,2022-07-14 06:21:12,62.1535,45.1175,68.52,90,100,4.76
195,Norman Wells,CA,2022-07-14 06:24:04,65.282,-126.8329,53.64,87,100,13.8
196,Leningradskiy,RU,2022-07-14 06:24:04,69.3833,178.4167,37.36,81,88,8.61
197,Airai,TL,2022-07-14 06:24:04,-8.9266,125.4092,65.26,70,78,3.78
198,Provideniya,RU,2022-07-14 06:24:04,64.3833,-173.3,55.94,60,82,3.11
199,Camas,ES,2022-07-14 06:24:05,37.402,-6.0331,82.96,32,0,5.01
200,Vanimo,PG,2022-07-14 06:24:05,-2.6741,141.3028,82.33,73,100,4.45
201,Dharchula,IN,2022-07-14 06:24:05,29.85,80.5333,86.36,59,78,5.75
202,Atikokan,CA,2022-07-14 06:24:06,48.7555,-91.6216,55.33,76,65,3.51
203,Najran,SA,2022-07-14 06:24:06,17.4924,44.1277,84.85,19,90,9.93
204,Hami,CN,2022-07-14 06:24:06,42.8,93.45,91.6,18,57,10.8
205,Kaitangata,NZ,2022-07-14 06:24:07,-46.2817,169.8464,42.33,90,89,5.57
206,Bathsheba,BB,2022-07-14 06:24:07,13.2167,-59.5167,81.21,91,40,17.27
207,Nioro,GM,2022-07-14 06:24:07,13.35,-15.75,77.13,87,100,5.01
208,Kushima,JP,2022-07-14 06:24:08,31.4583,131.2333,89.69,58,75,11.23
209,Cururupu,BR,2022-07-14 06:24:08,-1.8283,-44.8683,74.77,92,48,4.74
210,Maniitsoq,GL,2022-07-14 06:24:08,65.4167,-52.9,44.15,75,3,8.48
211,Vestmannaeyjar,IS,2022-07-14 06:24:08,63.4427,-20.2734,50.02,80,100,9.48
212,Muros,ES,2022-07-14 06:24:09,42.7762,-9.0603,73.83,78,69,4.72
213,Prigorodnyy,RU,2022-07-14 06:24:09,51.7661,55.2665,84.36,51,40,8.95
214,Huescar,ES,2022-07-14 06:24:09,37.811,-2.5412,72.97,24,0,1.34
215,Pisco,PE,2022-07-14 06:24:10,-13.7,-76.2167,56.01,87,3,5.75
216,Bubaque,GW,2022-07-14 06:24:10,11.2833,-15.8333,79.72,83,100,10.42
217,Yarmouth,US,2022-07-14 06:24:10,41.7057,-70.2286,72.01,93,0,6.91
218,Tabou,CI,2022-07-14 06:24:11,4.423,-7.3528,75.04,81,98,6.91
219,Tuatapere,NZ,2022-07-14 06:24:11,-46.1333,167.6833,40.78,84,86,4.36
220,Xinpu,CN,2022-07-14 06:24:11,34.5997,119.1594,90.21,70,62,6.02
221,San Cristobal,VE,2022-07-14 06:24:11,7.7669,-72.225,64.24,94,40,2.66
222,Rio Grande,BR,2022-07-14 06:19:52,-32.035,-52.0986,50.95,87,24,14.97
223,Jalu,LY,2022-07-14 06:24:12,29.0331,21.5482,78.94,46,0,11.18
224,Faanui,PF,2022-07-14 06:24:12,-16.4833,-151.75,78.42,70,57,18.34
225,Lure,FR,2022-07-14 06:24:12,47.75,6.5,76.05,77,0,0.0
